     code  logKa         score
1    4llx   2.89   1860.245617
2    5c28   5.66   2997.716504
3    3uuo   7.96   5692.076839
4    3ui7   9.00   6459.004067
5    5c2h  11.09   8521.176412
6    2v00   3.66   4335.920806
7    3wz8   5.82   8391.972070
8    3pww   7.32  13835.434885
9    3prs   7.82  12629.895527
10   3uri   9.00  16273.604545
11   3uri   9.00  16281.882432
12   3uri   9.00  16213.246791
13   4m0z   5.19   7321.721177
14   4m0y   6.46   5400.238841
15   3qgy   7.80   7607.216899
16   4qd6   8.64   6192.961965
17   4rfm  10.05   8703.874546
18   4cr9   4.10   3301.781005
19   4cra   7.22   9553.356103
20   4x6p   8.30  10947.103074
21   4crc   8.72  10268.839487
22   4ty7   9.52   9232.322813
23   5aba   2.98   4133.665225
24   5a7b   3.57   5935.151494
25   4agn   3.97   4972.770845
26   4agp   4.69   5232.235875
27   4agq   5.01   5692.696352
28   3bgz   6.26   6879.849298
29   3jya   6.89   4313.032438
30   2c3i   7.60   6302.367211
31   4k18   8.96   8614.692348
32   5dwr  11.22   9802.090633
33   3mss   4.66   4402.766752
34   3k5v   6.30   6643.451002
35   3pyy   6.86   5916.514680
36   2v7a   8.30   9052.210818
37   4twp  10.00   7959.816560
38   3wtj   6.53   4925.709018
39   3zdg   7.10   4014.408196
40   3u8k   8.66   4806.503735
41   4qac   9.40   7688.563814
42   3u8n  10.17   5389.910868
43   1a30   4.30   7142.816809
44   1a30   4.30   6795.398100
45   2qnq   6.11  11988.244899
46   1g2k   7.96  13100.815777
47   1eby   9.70  14239.801778
48   3o9i  11.82  12513.957867
49   4lzs   4.80   3873.805162
50   3u5j   5.61   5534.700286
51   4wiv   6.26   6076.597565
52   4ogj   6.79   7409.768638
53   3p5o   7.30   7452.825463
54   1ps3   2.28   5056.465069
55   3dx1   3.58   2608.021016
56   3d4z   4.89   4290.959517
57   3dx2   6.82   3761.698603
58   3ejr   8.57   7213.955333
59   3l7b   2.40   6282.563387
60   4eky   3.52   8270.670120
61   3g2n   4.09   6866.457474
62   3syr   5.10   6882.097952
63   3ebp   5.91   5913.570985
64   2w66   4.05   5072.567865
65   2w4x   4.85   4752.777715
66   2wca   5.60   6141.660137
67   2xj7   6.66   4971.130712
68   2xj7   6.66   4941.787684
69   2vvn   7.30   5264.783834
70   3aru   3.22   4645.220587
71   3arv   5.64   5680.541827
72   3ary   6.00   4006.838007
73   3arq   6.40   8564.461818
74   3arp   7.15   9208.978925
75   4ih5   4.11   5040.183254
76   4ih7   5.24   4795.796532
77   3cj4   6.51   5904.839850
78   4eo8   8.15   7017.628620
79   3gnw   9.10  13393.212826
80   1gpk   5.37   5999.614380
81   1gpn   6.48   6525.224984
82   1h23   8.35  11336.449583
83   1h22   9.10  10609.074886
84   1e66   9.89   7011.885569
85   3f3a   4.19   4674.816988
86   3f3c   6.02   4235.903753
87   4mme   6.50   6396.618453
88   3f3d   7.16   2763.266306
89   3f3e   7.70   2823.539142
90   2wbg   4.45   6922.798834
91   2cbv   5.48   3673.151580
92   2j78   6.42   4242.398775
93   2j7h   7.19   3058.963762
94   2cet   8.02   7284.977958
95   3udh   2.85   4013.808578
96   3rsx   4.41   3896.519527
97   4djv   6.72   7957.589611
98   2vkm   8.74  14443.207133
99   4gid  10.77  14658.077313
100  4jfs   5.27   4503.180246
101  4jfs   5.27   4480.504283
102  4j28   5.70   4280.634886
103  2wvt   6.12   3820.233435
104  2xii   7.20   7428.171375
105  4pcs   7.85   3884.174417
106  3rr4   4.55   5174.663066
107  1s38   5.15   3662.874335
108  1r5y   6.46   3417.592478
109  3gc5   7.26   5973.286696
110  3ge7   8.70   7220.808610
111  4dli   5.62   5529.926491
112  2zb1   6.32   7373.308447
113  4f9w   6.94   7033.163855
114  3e92   8.00   7686.825421
115  3e93   8.85  10696.971248
116  4owm   2.96   2103.653675
117  3twp   3.92   2073.167591
118  3r88   4.82   3045.869100
119  4gkm   5.17   4658.097916
120  3qqs   5.82   4906.350044
121  3gv9   2.12   2752.698333
122  3gv9   2.12   2743.972899
123  3gr2   2.52   2843.955907
124  4kz6   3.10   3714.869645
125  4jxs   4.74   5434.270169
126  2r9w   5.10   7251.020916
127  2hb1   3.80   3667.764937
128  1bzc   4.92   6023.999944
129  1bzc   4.92   6093.424459
130  2qbr   6.33   6821.702378
131  2qbq   7.44   7445.696931
132  2qbp   8.40   8538.687390
133  1q8t   4.76   5260.353953
134  1ydr   5.52   6492.699136
135  1q8u   5.96   6956.111242
136  1ydt   7.32   8777.946684
137  3ag9   8.05  12922.671601
138  3fcq   2.77   3739.754093
139  3fcq   2.77   3757.745867
140  1z9g   5.64   4408.591896
141  1qf1   7.32   7270.413964
142  5tmn   8.04   8661.364814
143  4tmn  10.17  10720.495824
144  4ddk   2.29   3346.734555
145  4ddh   3.32   4297.204768
146  3ivg   4.30   8009.988606
147  3coz   5.57   9306.742312
148  3coy   6.02   9722.192640
149  3pxf   4.43   3782.063409
150  4eor   6.30   7812.762956
151  2xnb   6.83   7919.712198
152  1pxn   7.15   6424.904916
153  2fvd   8.52   8846.592724
154  4k77   6.63   5364.303767
155  4e5w   7.66   8319.198931
156  4ivb   8.72   6936.194051
157  4ivd   9.52   7544.703060
158  4ivc  10.00   7316.384244
159  4f09   6.70   5404.289721
160  4gfm   7.22   5277.752029
161  4hge   7.92   7419.681253
162  4e6q   8.36   6781.932012
163  4jia   9.22   7007.790378
164  2brb   4.86   6191.405557
165  2br1   5.14   7534.652816
166  3jvr   5.72   3926.392663
167  3jvs   6.54   5312.419104
168  1nvq   8.25  11155.132849
169  3acw   4.76   5899.855944
170  4ea2   6.44   7224.485654
171  2zcr   6.87   8133.179113
172  2zy1   7.40   7271.009977
173  2zcq   8.82   7115.042132
174  1bcu   3.28   3788.279476
175  3bv9   5.36  11005.372418
176  1oyt   7.24   8696.093162
177  2zda   8.40   7977.850241
178  3utu  10.92  11681.280291
179  3u9q   4.38   3270.336856
180  2yfe   6.63   6884.704811
181  3fur   8.00   8867.301545
182  3b1m   8.48  10836.253398
183  2p4y   9.00  11780.344540
184  3uo4   6.52   7891.665175
185  3up2   7.40   7729.548474
186  3e5a   8.23   8876.220915
187  2wtv   8.74   9724.494872
188  3myg  10.70   6619.422234
189  3kgp   2.57   2858.913134
190  1c5z   4.01   2336.183190
191  1o5b   5.77   3337.222094
192  1owh   7.40   5712.702975
193  1sqa   9.21   7072.455295
194  4jsz   2.30   1681.642650
195  3kwa   4.08   3931.077397
196  2weg   6.50   3455.743338
197  3ryj   7.80   5222.701948
198  3dd0   9.00   4487.260018
199  2xdl   3.10   4890.220625
200  3b27   5.16   4718.691497
201  1yc1   6.17   8641.531916
202  3rlr   7.52   7269.686405
203  3rlr   7.52   7307.868685
204  3rlr   7.52   7318.801883
205  2yki   9.46  10762.101563
206  1z95   7.12   9698.007198
207  3b68   8.40  10376.635189
208  3b5r   8.77   9544.886495
209  3b65   9.27   8380.076391
210  3g0w   9.52   8017.931371
211  4u4s   2.92   4181.900022
212  1p1q   4.89   4076.540370
213  1syi   5.44   5199.881865
214  1p1n   6.80   4859.480954
215  2al5   8.40   4963.455573
216  3g2z   2.36   3054.115832
217  3g31   2.89   2455.140090
218  4de2   4.12   6129.773024
219  4de3   5.52   5452.131160
220  4de1   5.96   5818.234207
221  1vso   4.72   5633.459503
222  4dld   5.82   7025.177814
223  3gbb   6.90   5958.654367
224  3fv2   8.11   6823.914316
225  3fv1   9.30   7136.617974
226  4mgd   4.69   5921.414097
227  2qe4   7.96   7367.663513
228  1qkt   9.04   6109.882106
229  2pog   9.54   6651.279831
230  2p15  10.30  10791.473222
231  2y5h   5.79   7796.921123
232  1lpg   7.09   9435.307992
233  2xbv   8.43  10069.551666
234  1z6e   9.72   9267.304733
235  1mq6  11.15   9120.845404
236  1nc3   5.00   6038.377466
237  1nc1   6.12   6658.139002
238  1y6r  10.11   6521.963513
239  4f2w  11.30   6362.021895
