     code  logKa         score
1    4llx   2.89   1787.924398
2    5c28   5.66   2722.974960
3    3uuo   7.96   4901.483225
4    3ui7   9.00   5559.725793
5    5c2h  11.09   7272.135952
6    2v00   3.66   3844.713515
7    3wz8   5.82   7316.976051
8    3pww   7.32  11644.733035
9    3prs   7.82  10647.008081
10   3uri   9.00  13434.965354
11   3uri   9.00  13439.273210
12   3uri   9.00  13411.364492
13   4m0z   5.19   6356.990462
14   4m0y   6.46   4754.825950
15   3qgy   7.80   6596.519458
16   4qd6   8.64   5314.565527
17   4rfm  10.05   7565.433660
18   4cr9   4.10   3010.701883
19   4cra   7.22   8105.360777
20   4x6p   8.30   9270.745351
21   4crc   8.72   8705.417405
22   4ty7   9.52   7898.411779
23   5aba   2.98   3727.704025
24   5a7b   3.57   5247.669043
25   4agn   3.97   4438.144290
26   4agp   4.69   4616.929895
27   4agq   5.01   5011.592532
28   3bgz   6.26   6013.351197
29   3jya   6.89   3863.042856
30   2c3i   7.60   5560.905675
31   4k18   8.96   7340.004429
32   5dwr  11.22   8368.097102
33   3mss   4.66   3934.485821
34   3k5v   6.30   5879.106656
35   3pyy   6.86   5184.049584
36   2v7a   8.30   7818.743366
37   4twp  10.00   6922.462576
38   3wtj   6.53   4450.534698
39   3zdg   7.10   3641.746904
40   3u8k   8.66   4380.066638
41   4qac   9.40   6707.610801
42   3u8n  10.17   4825.968977
43   1a30   4.30   6225.531678
44   1a30   4.30   5864.117313
45   2qnq   6.11  10197.556188
46   1g2k   7.96  11122.254970
47   1eby   9.70  12043.816358
48   3o9i  11.82  10646.733084
49   4lzs   4.80   3497.125642
50   3u5j   5.61   4827.878823
51   4wiv   6.26   5282.318771
52   4ogj   6.79   6335.918708
53   3p5o   7.30   6401.883110
54   1ps3   2.28   4531.325547
55   3dx1   3.58   2466.684288
56   3d4z   4.89   3911.863125
57   3dx2   6.82   3416.974462
58   3ejr   8.57   6323.939523
59   3l7b   2.40   5461.295579
60   4eky   3.52   7077.386337
61   3g2n   4.09   5964.457612
62   3syr   5.10   5955.083657
63   3ebp   5.91   5186.905590
64   2w66   4.05   4492.564584
65   2w4x   4.85   4198.217478
66   2wca   5.60   5148.399400
67   2xj7   6.66   4413.161961
68   2xj7   6.66   4377.889150
69   2vvn   7.30   4648.411249
70   3aru   3.22   4079.359760
71   3arv   5.64   4993.267581
72   3ary   6.00   3465.306152
73   3arq   6.40   7394.103736
74   3arp   7.15   8010.698346
75   4ih5   4.11   4438.837945
76   4ih7   5.24   4202.564285
