     code  logKa         score
1    4llx   2.89   1860.245617
2    5c28   5.66   2998.862885
3    3uuo   7.96   5716.064636
4    3ui7   9.00   6459.004067
5    5c2h  11.09   8521.176412
6    2v00   3.66   3342.487624
7    3wz8   5.82   8378.893249
8    3pww   7.32  13468.732980
9    3prs   7.82  10453.298050
10   3uri   9.00  16360.945318
11   4m0z   5.19   7389.269092
12   4m0y   6.46   5413.095300
13   3qgy   7.80   7607.216899
14   4qd6   8.64   5922.695249
15   4rfm  10.05   8703.874546
16   4cr9   4.10   3338.933315
17   4cra   7.22   9553.356103
18   4x6p   8.30  10773.748518
19   4crc   8.72  10343.140917
20   4ty7   9.52   9194.915953
21   5aba   2.98   3986.929008
22   5a7b   3.57   5936.075798
23   4agn   3.97   4853.804777
24   4agp   4.69   5416.737182
25   4agq   5.01   5625.326657
26   3bgz   6.26   6879.849298
27   3jya   6.89   4290.198619
28   2c3i   7.60   6399.825427
29   4k18   8.96   8729.718608
30   5dwr  11.22   9732.690549
31   3mss   4.66   4402.766752
32   3k5v   6.30   6643.451002
33   3pyy   6.86   5372.688913
34   2v7a   8.30   9124.357452
35   4twp  10.00   8041.070266
36   3wtj   6.53   4925.709018
37   3zdg   7.10   4014.596917
38   3u8k   8.66   4860.983645
39   4qac   9.40   7730.710498
40   3u8n  10.17   5446.650114
41   1a30   4.30   7160.139686
42   2qnq   6.11  11968.241105
43   1g2k   7.96  13207.778292
44   1eby   9.70  14239.678417
45   3o9i  11.82  12653.868928
46   4lzs   4.80   3882.159189
47   3u5j   5.61   5355.678445
48   4wiv   6.26   6076.597565
49   4ogj   6.79   7097.287535
50   3p5o   7.30   7578.008581
51   1ps3   2.28   5056.465069
52   3dx1   3.58   2609.046286
53   3d4z   4.89   4290.959517
54   3dx2   6.82   3765.471434
55   3ejr   8.57   7213.955333
56   3l7b   2.40   6285.189481
57   4eky   3.52   8210.223941
58   3g2n   4.09   6866.457474
59   3syr   5.10   6882.097952
60   3ebp   5.91   5913.570985
61   2w66   4.05   5072.567865
62   2w4x   4.85   4803.346763
63   2wca   5.60   5538.746237
64   2xj7   6.66   4973.026065
65   2vvn   7.30   5264.783834
66   3aru   3.22   4692.655536
67   3arv   5.64   5680.541827
68   3ary   6.00   3812.779982
69   3arq   6.40   8564.461818
70   3arp   7.15   9168.770894
71   4ih5   4.11   5040.260435
72   4ih7   5.24   4770.807798
73   3cj4   6.51   5904.839850
74   4eo8   8.15   6951.087344
75   3gnw   9.10  13393.212826
76   1gpk   5.37   5965.334884
77   1gpn   6.48   6525.224984
78   1h23   8.35  11336.449583
79   1h22   9.10  10609.074886
80   1e66   9.89   7011.885569
81   3f3a   4.19   2333.449948
82   3f3c   6.02   4235.903753
83   4mme   6.50   6412.277192
84   3f3d   7.16   2763.266306
85   3f3e   7.70   2823.539142
86   2wbg   4.45   7002.610446
87   2cbv   5.48   3673.151580
88   2j78   6.42   4242.398775
89   2j7h   7.19   3052.366466
90   2cet   8.02   7335.851770
91   3udh   2.85   4013.808578
92   3rsx   4.41   3843.510440
93   4djv   6.72   7990.049481
94   2vkm   8.74  14164.800566
95   4gid  10.77  14504.523619
96   4jfs   5.27   4498.013311
97   4j28   5.70   4189.476014
98   2wvt   6.12   3820.233435
99   2xii   7.20   7354.191734
100  4pcs   7.85   3876.905836
101  3rr4   4.55   5201.499007
102  1s38   5.15   3666.397017
103  1r5y   6.46   3417.592478
104  3gc5   7.26   5973.286696
105  3ge7   8.70   7324.809151
106  4dli   5.62   5529.926491
107  2zb1   6.32   7373.308447
108  4f9w   6.94   7010.696370
109  3e92   8.00   7670.407066
110  3e93   8.85  10696.971248
111  4owm   2.96   2103.653675
112  3twp   3.92   2022.504214
113  3r88   4.82   3118.264184
114  4gkm   5.17   4771.838968
115  3qqs   5.82   4822.637662
116  3gv9   2.12   2769.781140
117  3gr2   2.52   2745.560224
118  4kz6   3.10   3717.512745
119  4jxs   4.74   5431.179975
120  2r9w   5.10   7252.995074
121  2hb1   3.80   3667.764937
122  1bzc   4.92   6058.854247
123  2qbr   6.33   6755.770357
124  2qbq   7.44   7445.696931
125  2qbp   8.40   6935.991959
