     code  logKa        score
1    4llx   2.89  1492.417176
2    5c28   5.66  2144.591623
3    3uuo   7.96  3648.614236
4    3ui7   9.00  4035.970158
5    5c2h  11.09  5451.396463
6    2v00   3.66  2110.684812
7    3wz8   5.82  5472.484281
8    3pww   7.32  8058.699706
9    3prs   7.82  6188.881685
10   3uri   9.00  9549.597609
11   4m0z   5.19  4841.091988
12   4m0y   6.46  3570.919967
13   3qgy   7.80  4832.691356
14   4qd6   8.64  3843.997508
15   4rfm  10.05  5642.788664
16   4cr9   4.10  2473.866411
17   4cra   7.22  5994.249308
18   4x6p   8.30  6731.844622
19   4crc   8.72  6582.401782
20   4ty7   9.52  5865.926797
21   5aba   2.98  2772.901331
22   5a7b   3.57  4066.789782
23   4agn   3.97  3298.265231
24   4agp   4.69  3778.217115
25   4agq   5.01  3806.422002
26   3bgz   6.26  4379.796767
27   3jya   6.89  2889.690769
28   2c3i   7.60  4251.771318
29   4k18   8.96  5401.299534
30   5dwr  11.22  6001.625499
31   3mss   4.66  3052.766433
32   3k5v   6.30  4430.176200
33   3pyy   6.86  3434.628618
34   2v7a   8.30  5799.611329
35   4twp  10.00  5181.535529
36   3wtj   6.53  3427.000317
37   3zdg   7.10  2821.721788
38   3u8k   8.66  3410.449507
39   4qac   9.40  5083.381164
40   3u8n  10.17  3730.997736
41   1a30   4.30  4554.721752
42   2qnq   6.11  7276.799223
43   1g2k   7.96  8010.491250
44   1eby   9.70  8729.978028
45   3o9i  11.82  7855.116884
46   4lzs   4.80  2694.118701
47   3u5j   5.61  3478.975731
48   4wiv   6.26  3926.394854
49   4ogj   6.79  4461.520047
50   3p5o   7.30  4853.957941
51   1ps3   2.28  3479.665466
52   3dx1   3.58  2010.370705
53   3d4z   4.89  3040.917501
54   3dx2   6.82  2701.033603
55   3ejr   8.57  4767.068557
56   3l7b   2.40  4080.632418
57   4eky   3.52  5162.948144
58   3g2n   4.09  4378.987735
59   3syr   5.10  4375.437457
60   3ebp   5.91  3886.477301
61   2w66   4.05  3416.590886
62   2w4x   4.85  3205.519066
63   2wca   5.60  3178.926829
64   2xj7   6.66  3380.939926
65   2vvn   7.30  3531.229551
66   3aru   3.22  3086.729139
67   3arv   5.64  3756.984787
68   3ary   6.00  2516.168490
69   3arq   6.40  5399.685198
70   3arp   7.15  5928.383829
71   4ih5   4.11  3355.194617
72   4ih7   5.24  3161.538812
73   3cj4   6.51  3553.979172
74   4eo8   8.15  4116.507461
75   3gnw   9.10  7781.947316
76   1gpk   5.37  3979.147655
77   1gpn   6.48  4237.159053
78   1h23   8.35  7227.911990
79   1h22   9.10  6790.623211
80   1e66   9.89  4509.843716
81   3f3a   4.19  1362.297735
82   3f3c   6.02  2973.209502
83   4mme   6.50  4268.818277
84   3f3d   7.16  2011.434158
85   3f3e   7.70  2048.120386
86   2wbg   4.45  4589.479568
87   2cbv   5.48  2637.735905
88   2j78   6.42  2974.021516
89   2j7h   7.19  2260.770735
90   2cet   8.02  4703.113381
91   3udh   2.85  2724.503898
92   3rsx   4.41  2546.894968
93   4djv   6.72  5013.192516
94   2vkm   8.74  8544.681805
95   4gid  10.77  8865.112189
96   4jfs   5.27  2995.486314
97   4j28   5.70  2803.265102
98   2wvt   6.12  2650.189545
99   2xii   7.20  4753.792590
100  4pcs   7.85  2575.110282
101  3rr4   4.55  3614.928425
102  1s38   5.15  2664.579160
103  1r5y   6.46  2509.750287
104  3gc5   7.26  4021.676354
105  3ge7   8.70  4817.943850
106  4dli   5.62  3867.517024
107  2zb1   6.32  4852.955631
108  4f9w   6.94  4595.626495
109  3e92   8.00  5037.726335
110  3e93   8.85  6907.709414
111  4owm   2.96  1568.709237
112  3twp   3.92  1503.669463
113  3r88   4.82  2251.154644
114  4gkm   5.17  3343.506990
115  3qqs   5.82  3284.049079
116  3gv9   2.12  1965.569603
117  3gr2   2.52  1998.473934
118  4kz6   3.10  2502.606867
119  4jxs   4.74  3511.310268
120  2r9w   5.10  4373.967127
121  2hb1   3.80  2427.448068
122  1bzc   4.92  3900.604676
123  2qbr   6.33  4330.682984
124  2qbq   7.44  4670.570279
125  2qbp   8.40  4062.606048
126  1q8t   4.76  3548.077040
127  1ydr   5.52  4049.179850
128  1q8u   5.96  4376.551669
129  1ydt   7.32  5491.891869
130  3ag9   8.05  4489.222648
131  3fcq   2.77  2628.569425
132  1z9g   5.64  2958.496504
133  1qf1   7.32  4612.565694
134  5tmn   8.04  4991.876606
135  4tmn  10.17  3607.186508
136  4ddk   2.29  2411.744961
137  4ddh   3.32  3027.942475
138  3ivg   4.30  4103.175482
139  3coz   5.57  5986.033555
140  3coy   6.02  6273.988606
141  3pxf   4.43  2059.480982
142  4eor   6.30  4985.177172
143  2xnb   6.83  5225.093923
144  1pxn   7.15  4236.989661
145  2fvd   8.52  5659.199209
146  4k77   6.63  3568.624751
147  4e5w   7.66  5485.941925
148  4ivb   8.72  4547.587060
149  4ivd   9.52  4856.772004
150  4ivc  10.00  4676.337917
151  4f09   6.70  3549.824540
152  4gfm   7.22  3555.845595
153  4hge   7.92  4783.457566
154  4e6q   8.36  4441.451284
155  4jia   9.22  4603.277109
156  2brb   4.86  4081.502623
157  2br1   5.14  4930.709328
158  3jvr   5.72  2733.949795
159  3jvs   6.54  3482.882325
160  1nvq   8.25  6687.378075
161  3acw   4.76  3787.013150
162  4ea2   6.44  4675.514071
163  2zcr   6.87  5244.484409
164  2zy1   7.40  4732.258135
165  2zcq   8.82  4530.447911
166  1bcu   3.28  2632.986872
167  3bv9   5.36  6468.577263
168  1oyt   7.24  5453.502882
169  2zda   8.40  5018.551657
170  3utu  10.92  6960.097877
171  3u9q   4.38  2230.497218
172  2yfe   6.63  4239.515142
173  3fur   8.00  5475.314511
174  3b1m   8.48  6694.931096
175  2p4y   9.00  7235.268913
176  3uo4   6.52  4960.182844
177  3up2   7.40  4991.382074
178  3e5a   8.23  5649.810573
179  2wtv   8.74  5926.248845
180  3myg  10.70  4525.868512
181  3kgp   2.57  2098.951221
182  1c5z   4.01  1793.485805
183  1o5b   5.77  2433.737941
184  1owh   7.40  3818.407734
185  1sqa   9.21  4545.233771
186  4jsz   2.30   750.179813
187  3kwa   4.08  2636.965870
188  2weg   6.50  2374.137975
189  3ryj   7.80  3444.384247
190  3dd0   9.00  3062.609287
191  2xdl   3.10  3402.172718
192  3b27   5.16  3297.029021
193  1yc1   6.17  5521.895568
194  3rlr   7.52  4600.664454
195  2yki   9.46  6871.797159
196  1z95   7.12  5979.878473
197  3b68   8.40  6515.733075
198  3b5r   8.77  5862.677289
199  3b65   9.27  5223.917103
200  3g0w   9.52  5071.471627
201  4u4s   2.92  2875.067260
202  1p1q   4.89  2887.915344
203  1syi   5.44  3577.572791
204  1p1n   6.80  3308.884365
205  2al5   8.40  3404.526684
206  3g2z   2.36  1513.038450
207  3g31   2.89  1701.929892
208  4de2   4.12  4027.373479
209  4de3   5.52  3571.601623
210  4de1   5.96  3586.003526
211  1vso   4.72  3588.413872
212  4dld   5.82  4344.401763
213  3gbb   6.90  3979.949593
214  3fv2   8.11  4492.172210
215  3fv1   9.30  4704.406291
216  4mgd   4.69  3758.014404
217  2qe4   7.96  4589.393283
218  1qkt   9.04  4006.332236
219  2pog   9.54  4221.944340
220  2p15  10.30  6459.714840
221  2y5h   5.79  4975.584850
222  1lpg   7.09  4603.951437
223  2xbv   8.43  6052.602935
224  1z6e   9.72  5941.289164
225  1mq6  11.15  3766.579610
226  1nc3   5.00  4174.060808
227  1nc1   6.12  4438.117120
228  1y6r  10.11  4425.801529
229  4f2w  11.30  4346.156534
230  4f3c  11.82  4919.522523
231  1uto   2.27  1690.281587
232  4abg   3.57  2316.590102
233  3gy4   5.10  1995.681346
234  1k1i   6.58  4991.557399
235  1o3f   7.96  3848.520761
236  2yge   5.06  6466.732307
237  2fxs   6.06  4536.579170
238  2iwx   6.68  4469.210224
239  2wer   7.05  4254.216501
240  2vw5   8.52  5626.461080
241  4kzq   6.10  3626.914841
242  4kzu   6.50  3707.179992
243  4j21   7.41  4045.392283
244  4j3l   7.80  4690.286898
245  3kr8   8.10  4345.421158
246  2ymd   3.16  2789.008284
247  2wnc   6.32  3912.892056
248  2xys   7.42  4988.407491
249  2wn9   8.52  3693.617954
250  2x00  11.33  6443.845350
251  3ozt   4.13  5374.635403
252  3ozs   5.33  5788.254523
253  3oe5   6.88  5293.287402
254  3oe4   7.47  5581.382035
255  3nw9   9.00  6483.659126
