     code  logKa         score
1    4llx   2.89   1798.107088
2    5c28   5.66   2979.289740
3    3uuo   7.96   5907.548296
4    3ui7   9.00   6732.246644
5    5c2h  11.09   9041.568158
6    2v00   3.66   4386.307985
7    3wz8   5.82   8682.402468
8    3pww   7.32  14693.908632
9    3prs   7.82  13459.553520
10   3uri   9.00  17514.529957
11   3uri   9.00  17524.223762
12   3uri   9.00  17481.789803
13   4m0z   5.19   7554.652221
14   4m0y   6.46   5453.978853
15   3qgy   7.80   7854.936813
16   4qd6   8.64   6492.201926
17   4rfm  10.05   9065.870052
18   4cr9   4.10   3278.770576
19   4cra   7.22  10138.227437
20   4x6p   8.30  11714.742866
21   4crc   8.72  10951.311867
22   4ty7   9.52   9824.151958
23   5aba   2.98   4142.474659
24   5a7b   3.57   6045.085111
25   4agn   3.97   5021.663598
26   4agp   4.69   5373.104845
27   4agq   5.01   5826.969214
28   3bgz   6.26   6945.841952
29   3jya   6.89   4276.469578
30   2c3i   7.60   6370.995264
31   4k18   8.96   8905.366060
32   5dwr  11.22  10124.992239
33   3mss   4.66   4470.673989
34   3k5v   6.30   6697.370931
35   3pyy   6.86   6035.180343
36   2v7a   8.30   9422.460108
37   4twp  10.00   8234.190048
38   3wtj   6.53   4875.526778
39   3zdg   7.10   3980.922568
40   3u8k   8.66   4785.531232
41   4qac   9.40   7930.412929
42   3u8n  10.17   5379.219243
43   1a30   4.30   7184.179921
44   1a30   4.30   6884.594364
45   2qnq   6.11  12493.370487
46   1g2k   7.96  13797.850253
47   1eby   9.70  14980.666306
48   3o9i  11.82  13078.435663
49   4lzs   4.80   3838.813643
50   3u5j   5.61   5639.190401
51   4wiv   6.26   6247.511705
52   4ogj   6.79   7702.874888
53   3p5o   7.30   7751.072151
54   1ps3   2.28   5026.917933
55   3dx1   3.58   2524.828670
56   3d4z   4.89   4226.190402
57   3dx2   6.82   3678.974574
58   3ejr   8.57   7388.336614
59   3l7b   2.40   6417.335024
60   4eky   3.52   8600.852704
61   3g2n   4.09   7056.001523
62   3syr   5.10   7055.923492
63   3ebp   5.91   5967.519166
64   2w66   4.05   5124.655388
65   2w4x   4.85   4864.173861
66   2wca   5.60   6514.979943
67   2xj7   6.66   5060.305852
68   2xj7   6.66   5033.110900
69   2vvn   7.30   5379.838936
70   3aru   3.22   4780.126687
71   3arv   5.64   5820.907866
72   3ary   6.00   4124.741169
73   3arq   6.40   8865.839520
74   3arp   7.15   9566.376274
75   4ih5   4.11   5209.030080
76   4ih7   5.24   4927.280821
77   3cj4   6.51   6252.438819
78   4eo8   8.15   7401.072345
79   3gnw   9.10  14405.710140
80   1gpk   5.37   6069.015768
81   1gpn   6.48   6630.141589
82   1h23   8.35  11943.139177
83   1h22   9.10  11173.689919
84   1e66   9.89   7252.799090
85   3f3a   4.19   4703.643883
86   3f3c   6.02   4153.355416
87   4mme   6.50   6455.853281
88   3f3d   7.16   2695.440834
89   3f3e   7.70   2769.184295
90   2wbg   4.45   7155.404826
91   2cbv   5.48   3609.810767
92   2j78   6.42   4205.505708
93   2j7h   7.19   3002.176156
94   2cet   8.02   7516.315137
95   3udh   2.85   4007.224500
96   3rsx   4.41   3978.877385
97   4djv   6.72   8229.864099
98   2vkm   8.74  15537.335289
99   4gid  10.77  15808.398661
100  4jfs   5.27   4521.246390
101  4jfs   5.27   4510.469816
102  4j28   5.70   4328.208506
103  2wvt   6.12   3780.957727
104  2xii   7.20   7740.066810
105  4pcs   7.85   3916.199192
106  3rr4   4.55   5312.007067
107  1s38   5.15   3628.221936
108  1r5y   6.46   3380.217216
109  3gc5   7.26   6155.282870
110  3ge7   8.70   7646.795912
111  4dli   5.62   5570.954361
112  2zb1   6.32   7639.835606
113  4f9w   6.94   7248.541159
114  3e92   8.00   7904.597521
115  3e93   8.85  11133.502662
116  4owm   2.96   2020.922989
117  3twp   3.92   1989.582385
118  3r88   4.82   2971.018696
119  4gkm   5.17   4607.042901
120  3qqs   5.82   4837.576142
121  3gv9   2.12   2686.121434
122  3gv9   2.12   2685.446241
123  3gr2   2.52   2813.103973
124  4kz6   3.10   3720.431244
125  4jxs   4.74   5473.241183
126  2r9w   5.10   7435.708740
127  2hb1   3.80   3650.828817
128  1bzc   4.92   6170.831240
129  1bzc   4.92   6243.244406
130  2qbr   6.33   7017.449846
131  2qbq   7.44   7727.034157
132  2qbp   8.40   8829.347463
133  1q8t   4.76   5411.738111
134  1ydr   5.52   6664.825235
135  1q8u   5.96   7171.921363
136  1ydt   7.32   9173.864763
137  3ag9   8.05  14232.941481
138  3fcq   2.77   3630.404872
139  3fcq   2.77   3644.251127
140  1z9g   5.64   4400.548710
141  1qf1   7.32   7469.380848
142  5tmn   8.04   8974.076694
143  4tmn  10.17  11205.794914
144  4ddk   2.29   3229.100581
145  4ddh   3.32   4225.592519
146  3ivg   4.30   8243.949373
147  3coz   5.57   9653.836747
148  3coy   6.02  10129.958666
149  3pxf   4.43   3855.371960
150  4eor   6.30   8164.029513
151  2xnb   6.83   8163.900626
152  1pxn   7.15   6600.918299
153  2fvd   8.52   9261.780026
154  4k77   6.63   5444.724980
155  4e5w   7.66   8641.032704
156  4ivb   8.72   7062.241385
157  4ivd   9.52   7735.360993
158  4ivc  10.00   7483.310927
159  4f09   6.70   5508.995189
160  4gfm   7.22   5295.888188
161  4hge   7.92   7682.164502
162  4e6q   8.36   7029.638012
163  4jia   9.22   7212.946286
164  2brb   4.86   6315.945831
165  2br1   5.14   7724.977239
166  3jvr   5.72   3967.320825
167  3jvs   6.54   5449.246307
168  1nvq   8.25  11679.232011
169  3acw   4.76   5989.953075
170  4ea2   6.44   7585.619695
171  2zcr   6.87   8242.353070
172  2zy1   7.40   7381.367485
173  2zcq   8.82   7158.493808
174  1bcu   3.28   3814.168430
175  3bv9   5.36  11941.620721
176  1oyt   7.24   9205.382119
177  2zda   8.40   8442.858443
178  3utu  10.92  12573.263843
179  3u9q   4.38   3322.835659
180  2yfe   6.63   7134.736351
181  3fur   8.00   9204.605624
182  3b1m   8.48  11378.426941
183  2p4y   9.00  12387.078644
184  3uo4   6.52   8047.056908
185  3up2   7.40   7814.357032
186  3e5a   8.23   9306.655966
187  2wtv   8.74  10081.637132
188  3myg  10.70   6858.364561
189  3kgp   2.57   2821.261332
190  1c5z   4.01   2280.968403
191  1o5b   5.77   3325.997650
192  1owh   7.40   5886.687157
193  1sqa   9.21   7434.455525
194  4jsz   2.30   1628.597245
195  3kwa   4.08   3998.529794
196  2weg   6.50   3384.942183
197  3ryj   7.80   5255.263807
198  3dd0   9.00   4558.662007
199  2xdl   3.10   4849.976198
200  3b27   5.16   4755.875469
201  1yc1   6.17   8837.249688
202  3rlr   7.52   7449.314639
203  3rlr   7.52   7478.631762
204  3rlr   7.52   7480.798966
205  2yki   9.46  11258.356831
206  1z95   7.12   9980.692515
207  3b68   8.40  10643.759338
208  3b5r   8.77   9797.951556
209  3b65   9.27   8605.569565
210  3g0w   9.52   8205.308375
211  4u4s   2.92   4152.458195
212  1p1q   4.89   4019.119443
213  1syi   5.44   5189.580452
214  1p1n   6.80   4837.873276
215  2al5   8.40   4885.891408
216  3g2z   2.36   3068.247701
217  3g31   2.89   2415.347678
218  4de2   4.12   6320.571178
219  4de3   5.52   5610.626269
220  4de1   5.96   5993.775639
221  1vso   4.72   5777.247566
222  4dld   5.82   7141.330124
223  3gbb   6.90   5948.696602
224  3fv2   8.11   6821.500806
225  3fv1   9.30   7166.101817
226  4mgd   4.69   5955.614414
227  2qe4   7.96   7605.064209
228  1qkt   9.04   6225.765619
229  2pog   9.54   6808.327835
230  2p15  10.30  11345.480651
231  2y5h   5.79   8291.651505
232  1lpg   7.09  10124.607468
233  2xbv   8.43  10621.368704
234  1z6e   9.72   9851.368135
235  1mq6  11.15   9712.956051
236  1nc3   5.00   6086.230335
237  1nc1   6.12   6747.233153
238  1y6r  10.11   6628.973725
239  4f2w  11.30   6460.943720
240  4f3c  11.82   7557.179569
241  1uto   2.27   2236.720827
242  4abg   3.57   3234.479761
243  3gy4   5.10   2597.948148
244  1k1i   6.58   7948.364440
245  1o3f   7.96   6123.592646
246  2yge   5.06  11312.719920
247  2fxs   6.06   6904.445427
248  2iwx   6.68   6663.997591
249  2wer   7.05   6604.171748
250  2vw5   8.52  10168.424073
251  4kzq   6.10   5262.702806
252  4kzu   6.50   5308.455698
253  4j21   7.41   5936.981342
254  4j21   7.41   5938.002362
255  4j3l   7.80   6964.237021
256  3kr8   8.10   6381.872171
257  2ymd   3.16   3750.262510
258  2wnc   6.32   6106.140623
259  2xys   7.42   8008.275547
260  2wn9   8.52   6362.946813
261  2x00  11.33  11429.226218
262  3ozt   4.13   8301.851055
263  3ozs   5.33   8939.139110
264  3oe5   6.88   8553.315104
265  3oe4   7.47   8933.187614
266  3nw9   9.00  10555.860047
267  3ao4   2.07   4200.749797
268  3zt2   2.84   5545.371695
269  3zsx   3.28   7160.640312
270  4cig   3.67   7799.353700
271  3zso   5.12   9238.190482
272  3zso   5.12   9238.190482
273  3n7a   3.70   3532.952087
274  4ciw   4.82   4906.453902
275  3n86   5.64   7789.730513
276  3n76   6.85   7617.703032
277  2xb8   7.59   7311.635742
278  4bkt   3.62   3892.005295
279  4w9c   4.65   5964.894236
280  4w9l   5.02   8339.553411
281  4w9l   5.02   8339.881609
282  4w9i   5.96   7167.213282
283  4w9h   6.73   7261.666816
284  3nq9   4.03   2204.237956
285  3ueu   5.24   3850.334391
286  3uev   5.89   4122.249083
287  3uew   6.31   4375.150723
288  3uex   6.92   5427.488179
289  3lka   2.82   3291.003549
290  3ehy   5.85   4709.592582
291  3tsk   7.17  10176.962616
292  3nx7   8.10   5804.231791
293  4gr0   9.55  12103.792953
294  3dxg   2.40   4369.077596
295  3d6q   3.76   4511.644724
296  1w4o   5.22   4331.832019
297  1o0h   5.92   6272.538350
298  1u1b   7.80  10712.257253

Summary of the scoring power: ===================================
The regression equation: logKa = 0.00 + 3.34 * Score
Number of favorable sample (N) = 298
Pearson correlation coefficient (R) = 0.614
Standard deviation in fitting (SD) = 1.72
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("rmsd_rmc14_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,298,2);
for(i in 1:298);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("rmsd_rmc14-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
