     code  logKa        score
1    4llx   2.89  1254.305094
2    5c28   5.66  1720.348560
3    3uuo   7.96  2729.141526
4    3ui7   9.00  3054.124353
5    5c2h  11.09  4270.069098
6    2v00   3.66  2330.036723
7    3wz8   5.82  4299.543897
8    3pww   7.32  6214.547621
9    3prs   7.82  5784.018544
10   3uri   9.00  7081.844033
11   3uri   9.00  7079.543581
12   3uri   9.00  7053.261266
13   4m0z   5.19  3706.606059
14   4m0y   6.46  2768.996296
15   3qgy   7.80  3705.440483
16   4qd6   8.64  3007.473705
17   4rfm  10.05  4365.290412
18   4cr9   4.10  1998.375801
19   4cra   7.22  4700.667914
20   4x6p   8.30  5411.662941
21   4crc   8.72  5013.259106
22   4ty7   9.52  4603.309240
23   5aba   2.98  2378.243714
24   5a7b   3.57  3299.065353
25   4agn   3.97  2789.531769
26   4agp   4.69  2871.684303
27   4agq   5.01  3128.683440
28   3bgz   6.26  3337.698685
29   3jya   6.89  2257.667364
30   2c3i   7.60  3248.449466
31   4k18   8.96  4078.504034
32   5dwr  11.22  4582.531342
33   3mss   4.66  2437.809273
34   3k5v   6.30  3526.840610
35   3pyy   6.86  3046.762419
36   2v7a   8.30  4487.582814
37   4twp  10.00  3994.827288
38   3wtj   6.53  2687.455283
39   3zdg   7.10  2251.261638
40   3u8k   8.66  2645.618140
41   4qac   9.40  3887.234028
42   3u8n  10.17  2909.562223
43   1a30   4.30  3434.105897
44   1a30   4.30  3191.204964
45   2qnq   6.11  5513.131630
46   1g2k   7.96  5998.725989
47   1eby   9.70  6583.580325
48   3o9i  11.82  5929.421629
49   4lzs   4.80  2122.966233
50   3u5j   5.61  2824.176706
51   4wiv   6.26  2973.782542
52   4ogj   6.79  3497.915331
53   3p5o   7.30  3651.754665
54   1ps3   2.28  2759.821187
55   3dx1   3.58  1689.619789
56   3d4z   4.89  2432.912914
57   3dx2   6.82  2181.302256
58   3ejr   8.57  3751.429814
59   3l7b   2.40  3146.315857
60   4eky   3.52  3969.488364
61   3g2n   4.09  3404.549619
62   3syr   5.10  3365.910722
63   3ebp   5.91  3050.756613
64   2w66   4.05  2704.329929
65   2w4x   4.85  2492.009579
66   2wca   5.60  2785.851946
67   2xj7   6.66  2688.283497
68   2xj7   6.66  2674.038553
69   2vvn   7.30  2825.714445
70   3aru   3.22  2423.973534
71   3arv   5.64  2949.564055
72   3ary   6.00  2040.857202
73   3arq   6.40  4170.779128
74   3arp   7.15  4752.505613
75   4ih5   4.11  2655.382819
76   4ih7   5.24  2477.472825
77   3cj4   6.51  2683.584240
78   4eo8   8.15  3117.155268
79   3gnw   9.10  5776.141083
80   1gpk   5.37  3126.363749
81   1gpn   6.48  3282.572875
82   1h23   8.35  5571.554613
83   1h22   9.10  5255.924060
84   1e66   9.89  3523.978722
85   3f3a   4.19  2543.500514
86   3f3c   6.02  2385.204591
87   4mme   6.50  3307.279554
88   3f3d   7.16  1647.591529
89   3f3e   7.70  1677.890534
90   2wbg   4.45  3530.247848
91   2cbv   5.48  2151.478549
92   2j78   6.42  2414.404663
93   2j7h   7.19  1863.375370
94   2cet   8.02  3629.680985
95   3udh   2.85  2147.911915
96   3rsx   4.41  2012.101973
97   4djv   6.72  3806.078754
98   2vkm   8.74  6629.524669
99   4gid  10.77  6929.930555
100  4jfs   5.27  2316.122738
101  4jfs   5.27  2307.981566
102  4j28   5.70  2264.084346
103  2wvt   6.12  2095.297023
104  2xii   7.20  3775.042343
105  4pcs   7.85  2034.310833
106  3rr4   4.55  2853.480264
107  1s38   5.15  2171.525154
108  1r5y   6.46  2054.510759
109  3gc5   7.26  3201.247389
110  3ge7   8.70  3770.780406
111  4dli   5.62  3141.139240
112  2zb1   6.32  3821.323771
113  4f9w   6.94  3543.979215
114  3e92   8.00  3935.047684
115  3e93   8.85  5369.410329
116  4owm   2.96  1309.353711
117  3twp   3.92  1285.480393
118  3r88   4.82  1764.752812
119  4gkm   5.17  2655.499954
120  3qqs   5.82  2701.745637
121  3gv9   2.12  1552.854034
122  3gv9   2.12  1544.412205
123  3gr2   2.52  1601.167259
124  4kz6   3.10  1960.040686
125  4jxs   4.74  2759.028622
126  2r9w   5.10  3448.427678
127  2hb1   3.80  1961.504629
128  1bzc   4.92  3045.123885
129  1bzc   4.92  3081.883912
130  2qbr   6.33  3435.010736
131  2qbq   7.44  3654.869247
132  2qbp   8.40  4179.172321
133  1q8t   4.76  2779.603703
134  1ydr   5.52  3142.816226
135  1q8u   5.96  3356.101305
136  1ydt   7.32  4197.187829
137  3ag9   8.05  5450.201295
138  3fcq   2.77  2036.588181
139  3fcq   2.77  2065.071524
140  1z9g   5.64  2278.366228
141  1qf1   7.32  3621.085846
142  5tmn   8.04  4093.557726
143  4tmn  10.17  4923.670513
144  4ddk   2.29  1971.383788
145  4ddh   3.32  2438.511250
146  3ivg   4.30  4154.730927
147  3coz   5.57  4637.413344
148  3coy   6.02  4855.591984
149  3pxf   4.43  1807.085477
150  4eor   6.30  3846.262490
151  2xnb   6.83  3989.536600
152  1pxn   7.15  3314.161969
153  2fvd   8.52  4368.816592
154  4k77   6.63  2812.337254
155  4e5w   7.66  4294.707585
156  4ivb   8.72  3530.439003
157  4ivd   9.52  3802.392279
158  4ivc  10.00  3695.601007
159  4f09   6.70  2829.856302
160  4gfm   7.22  2796.002319
161  4hge   7.92  3689.994273
162  4e6q   8.36  3496.365773
163  4jia   9.22  3619.031827
164  2brb   4.86  3185.293241
165  2br1   5.14  3873.670793
166  3jvr   5.72  2237.797008
167  3jvs   6.54  2796.491027
168  1nvq   8.25  5029.323576
169  3acw   4.76  3203.974714
170  4ea2   6.44  3550.743837
171  2zcr   6.87  4082.617263
172  2zy1   7.40  3661.786002
173  2zcq   8.82  3541.966297
174  1bcu   3.28  2152.661747
175  3bv9   5.36  5038.145975
176  1oyt   7.24  4215.330874
177  2zda   8.40  3944.383734
178  3utu  10.92  5345.413421
179  3u9q   4.38  1790.441833
180  2yfe   6.63  3234.401695
181  3fur   8.00  4199.020996
182  3b1m   8.48  5040.084306
183  2p4y   9.00  5467.245589
184  3uo4   6.52  3794.518491
185  3up2   7.40  3855.819519
186  3e5a   8.23  4208.881085
187  2wtv   8.74  4441.857223
188  3myg  10.70  3652.091142
189  3kgp   2.57  1651.805399
190  1c5z   4.01  1506.350920
191  1o5b   5.77  2019.224281
192  1owh   7.40  2981.666992
193  1sqa   9.21  3459.831361
194  4jsz   2.30  1174.385331
195  3kwa   4.08  2092.919597
196  2weg   6.50  1841.849598
197  3ryj   7.80  2659.567031
198  3dd0   9.00  2258.090916
199  2xdl   3.10  2707.699529
200  3b27   5.16  2562.614362
201  1yc1   6.17  4272.204051
202  3rlr   7.52  3489.831600
203  3rlr   7.52  3511.424107
204  3rlr   7.52  3516.296660
205  2yki   9.46  5359.247935
206  1z95   7.12  4543.598945
207  3b68   8.40  4969.658879
208  3b5r   8.77  4471.630922
209  3b65   9.27  3996.086234
210  3g0w   9.52  3922.283321
211  4u4s   2.92  2257.895205
212  1p1q   4.89  2323.485388
213  1syi   5.44  2861.418739
214  1p1n   6.80  2542.650441
215  2al5   8.40  2710.740188
216  3g2z   2.36  1764.973340
217  3g31   2.89  1379.087002
218  4de2   4.12  3165.160476
219  4de3   5.52  2817.853759
220  4de1   5.96  3060.083631
221  1vso   4.72  2821.079972
222  4dld   5.82  3333.171482
223  3gbb   6.90  3062.555695
224  3fv2   8.11  3526.936364
225  3fv1   9.30  3667.008009
226  4mgd   4.69  2890.947955
227  2qe4   7.96  3445.537029
228  1qkt   9.04  3058.025376
229  2pog   9.54  3220.126501
230  2p15  10.30  4815.394215
231  2y5h   5.79  3941.100301
232  1lpg   7.09  4669.560494
233  2xbv   8.43  4996.042688
234  1z6e   9.72  4655.666923
235  1mq6  11.15  4468.386227
236  1nc3   5.00  3286.433318
237  1nc1   6.12  3475.022835
238  1y6r  10.11  3482.395099
239  4f2w  11.30  3431.201179
240  4f3c  11.82  3861.930617
241  1uto   2.27  1407.301856
242  4abg   3.57  1888.153412
243  3gy4   5.10  1676.199796
244  1k1i   6.58  3581.146881
245  1o3f   7.96  3035.260826
246  2yge   5.06  4781.665023
247  2fxs   6.06  3560.714165
248  2iwx   6.68  3498.157665
249  2wer   7.05  3377.880147
250  2vw5   8.52  4381.998693
251  4kzq   6.10  2946.081554
252  4kzu   6.50  3006.392973
253  4j21   7.41  3245.652475
254  4j21   7.41  3259.271110
