     code  logKa         score
1    4llx   2.89   1787.924398
2    5c28   5.66   2722.937109
3    3uuo   7.96   4861.960672
4    3ui7   9.00   5559.725793
5    5c2h  11.09   7272.135952
6    2v00   3.66   2839.036520
7    3wz8   5.82   7276.863288
8    3pww   7.32  11293.120714
9    3prs   7.82  10665.934324
10   3uri   9.00  13539.856860
11   4m0z   5.19   6388.235961
12   4m0y   6.46   4758.792575
13   3qgy   7.80   6596.519458
14   4qd6   8.64   5111.683606
15   4rfm  10.05   7565.433660
16   4cr9   4.10   3066.370727
17   4cra   7.22   8105.360777
18   4x6p   8.30   9100.343974
19   4crc   8.72   8619.185690
20   4ty7   9.52   7837.069410
21   5aba   2.98   3381.415782
22   5a7b   3.57   5249.477190
23   4agn   3.97   4294.933522
24   4agp   4.69   4843.044282
25   4agq   5.01   4980.599422
26   3bgz   6.26   6013.351197
27   3jya   6.89   3754.705893
28   2c3i   7.60   5674.132457
29   4k18   8.96   7465.342828
30   5dwr  11.22   8329.056342
31   3mss   4.66   3921.816649
32   3k5v   6.30   6005.605434
33   3pyy   6.86   4641.934693
34   2v7a   8.30   7889.790993
35   4twp  10.00   6990.573701
36   3wtj   6.53   4450.534698
37   3zdg   7.10   3629.981394
38   3u8k   8.66   4405.512841
39   4qac   9.40   6756.419309
40   3u8n  10.17   4846.456831
41   1a30   4.30   5027.350920
42   2qnq   6.11  10183.383307
43   1g2k   7.96  11212.154842
44   1eby   9.70  12077.752567
45   3o9i  11.82  10796.338356
46   4lzs   4.80   3510.553500
47   3u5j   5.61   4686.053849
48   4wiv   6.26   5282.318771
49   4ogj   6.79   6094.458243
50   3p5o   7.30   6501.492927
51   1ps3   2.28   4531.325547
52   3dx1   3.58   2458.335260
53   3d4z   4.89   3911.863125
54   3dx2   6.82   3422.812162
55   3ejr   8.57   6323.939523
56   3l7b   2.40   5497.148034
57   4eky   3.52   7095.153825
58   3g2n   4.09   5964.457612
59   3syr   5.10   5955.083657
60   3ebp   5.91   5186.905590
61   2w66   4.05   4492.564584
62   2w4x   4.85   4256.756877
63   2wca   5.60   5384.087831
64   2xj7   6.66   4413.163535
65   2vvn   7.30   4648.411249
66   3aru   3.22   4007.199561
67   3arv   5.64   4993.267581
68   3ary   6.00   3314.538611
69   3arq   6.40   7394.103736
70   3arp   7.15   7909.008046
71   4ih5   4.11   4429.452002
72   4ih7   5.24   4167.125886
73   3cj4   6.51   4854.338246
74   4eo8   8.15   5819.588600
75   3gnw   9.10  11068.915961
76   1gpk   5.37   5297.238922
77   1gpn   6.48   5711.610287
78   1h23   8.35   9734.533322
79   1h22   9.10   9081.954493
80   1e66   9.89   6079.912470
81   3f3a   4.19   1858.886510
82   3f3c   6.02   3830.436394
83   4mme   6.50   5696.140725
84   3f3d   7.16   2523.612338
85   3f3e   7.70   2588.246158
86   2wbg   4.45   6143.417036
87   2cbv   5.48   3382.483863
88   2j78   6.42   3851.300603
89   2j7h   7.19   2826.477120
90   2cet   8.02   6393.933536
91   3udh   2.85   3591.222874
92   3rsx   4.41   3382.339615
93   4djv   6.72   6878.557151
94   2vkm   8.74  11818.928946
95   4gid  10.77  12149.071541
96   4jfs   5.27   3980.180011
97   4j28   5.70   3681.781842
98   2wvt   6.12   3459.733687
99   2xii   7.20   6345.070273
100  4pcs   7.85   3429.327390
101  3rr4   4.55   4629.765188
102  1s38   5.15   3356.771660
103  1r5y   6.46   3128.504132
104  3gc5   7.26   5225.486654
105  3ge7   8.70   6313.605108
106  4dli   5.62   4987.770337
107  2zb1   6.32   6434.170752
108  4f9w   6.94   6107.979495
109  3e92   8.00   6704.346402
110  3e93   8.85   9254.365842
111  4owm   2.96   1955.102211
112  3twp   3.92   1888.263875
113  3r88   4.82   2859.606911
114  4gkm   5.17   4305.239309
115  3qqs   5.82   4307.832533
116  3gv9   2.12   2373.301054
117  3gr2   2.52   2518.343367
118  4kz6   3.10   3312.529655
119  4jxs   4.74   4702.172711
120  2r9w   5.10   6168.424248
121  2hb1   3.80   3245.284230
122  1bzc   4.92   5290.245135
123  2qbr   6.33   5773.906226
124  2qbq   7.44   6395.326947
125  2qbp   8.40   5765.055278
126  1q8t   4.76   4659.193114
127  1ydr   5.52   5618.089044
128  1q8u   5.96   5974.014746
129  1ydt   7.32   7538.445913
130  3ag9   8.05   6542.764795
131  3fcq   2.77   3434.223220
132  1z9g   5.64   3958.485974
133  1qf1   7.32   6278.161029
134  5tmn   8.04   7016.044925
135  4tmn  10.17   5458.304217
136  4ddk   2.29   3051.326031
137  4ddh   3.32   3915.183296
138  3ivg   4.30   5660.461024
139  3coz   5.57   8034.361648
140  3coy   6.02   8413.201241
141  3pxf   4.43   2754.188736
142  4eor   6.30   6680.041168
143  2xnb   6.83   6941.854919
144  1pxn   7.15   5620.677506
145  2fvd   8.52   7641.575170
146  4k77   6.63   4776.729995
147  4e5w   7.66   7238.907297
148  4ivb   8.72   6065.264726
149  4ivd   9.52   6564.629298
150  4ivc  10.00   6272.415991
151  4f09   6.70   4696.474233
152  4gfm   7.22   4698.764375
153  4hge   7.92   6452.844228
154  4e6q   8.36   5899.032228
155  4jia   9.22   6107.067893
156  2brb   4.86   5440.135383
157  2br1   5.14   6555.011642
158  3jvr   5.72   3481.823030
159  3jvs   6.54   2985.265205
160  1nvq   8.25   9423.627490
161  3acw   4.76   5250.672254
162  4ea2   6.44   6198.131667
163  2zcr   6.87   7087.471371
164  2zy1   7.40   6346.739711
165  2zcq   8.82   6210.608480
166  1bcu   3.28   3360.739644
167  3bv9   5.36   9145.064930
168  1oyt   7.24   7347.848682
169  2zda   8.40   6790.535594
170  3utu  10.92   9674.380657
171  3u9q   4.38   2947.286626
172  2yfe   6.63   5850.263214
173  3fur   8.00   7558.816149
174  3b1m   8.48   9261.056104
175  2p4y   9.00  10063.721544
176  3uo4   6.52   6754.500042
177  3up2   7.40   6762.236433
178  3e5a   8.23   7721.097520
179  2wtv   8.74   8274.392737
180  3myg  10.70   5840.977519
181  3kgp   2.57   2679.514471
182  1c5z   4.01   2183.769866
183  1o5b   5.77   3042.889757
184  1owh   7.40   5030.377428
