     code  logKa         score
1    4llx   2.89   1751.508515
2    5c28   5.66   2787.806519
3    3uuo   7.96   5285.124470
4    3ui7   9.00   5956.837138
5    5c2h  11.09   7897.675165
6    2v00   3.66   3090.273268
7    3wz8   5.82   7720.656494
8    3pww   7.32  12365.875986
9    3prs   7.82   9608.871607
10   3uri   9.00  14981.250410
11   4m0z   5.19   6827.428681
12   4m0y   6.46   4995.653308
13   3qgy   7.80   7002.829484
14   4qd6   8.64   5473.861819
15   4rfm  10.05   8003.575867
16   4cr9   4.10   3116.929007
17   4cra   7.22   8812.902030
18   4x6p   8.30   9966.409245
19   4crc   8.72   9554.968405
20   4ty7   9.52   8511.887104
21   5aba   2.98   3681.148110
22   5a7b   3.57   5471.828412
23   4agn   3.97   4470.113612
24   4agp   4.69   5004.627531
25   4agq   5.01   5186.139044
26   3bgz   6.26   6273.699910
27   3jya   6.89   3930.867011
28   2c3i   7.60   5903.685992
29   4k18   8.96   7968.765826
30   5dwr  11.22   8890.855000
31   3mss   4.66   4074.113830
32   3k5v   6.30   6076.442983
33   3pyy   6.86   4942.647868
34   2v7a   8.30   8399.446968
35   4twp  10.00   7424.510735
36   3wtj   6.53   4546.211336
37   3zdg   7.10   3726.534970
38   3u8k   8.66   4517.372171
39   4qac   9.40   7110.327208
40   3u8n  10.17   5041.394395
41   1a30   4.30   6508.598648
42   2qnq   6.11  10909.855704
43   1g2k   7.96  12074.139526
44   1eby   9.70  13050.766948
45   3o9i  11.82  11613.438058
46   4lzs   4.80   3590.165290
47   3u5j   5.61   4941.201785
48   4wiv   6.26   5609.076310
49   4ogj   6.79   6522.097239
50   3p5o   7.30   6984.106596
51   1ps3   2.28   4653.562562
52   3dx1   3.58   2428.451635
53   3d4z   4.89   3968.156814
54   3dx2   6.82   3469.421608
55   3ejr   8.57   6644.332161
56   3l7b   2.40   5763.669187
57   4eky   3.52   7500.390362
58   3g2n   4.09   6291.792842
59   3syr   5.10   6289.066748
60   3ebp   5.91   5438.187961
61   2w66   4.05   4683.468571
62   2w4x   4.85   4425.816511
63   2wca   5.60   5057.195163
64   2xj7   6.66   4604.378942
65   2vvn   7.30   4874.804939
66   3aru   3.22   4325.784786
67   3arv   5.64   5229.403918
68   3ary   6.00   3548.905115
69   3arq   6.40   7834.514055
70   3arp   7.15   8463.098009
71   4ih5   4.11   4685.664416
72   4ih7   5.24   4410.933674
73   3cj4   6.51   5402.343037
74   4eo8   8.15   6353.303144
75   3gnw   9.10  12217.849314
76   1gpk   5.37   5527.691273
77   1gpn   6.48   6032.224506
78   1h23   8.35  10459.325567
79   1h22   9.10   9794.943565
80   1e66   9.89   6478.233939
81   3f3a   4.19   2145.888610
82   3f3c   6.02   3886.305538
83   4mme   6.50   5899.117104
84   3f3d   7.16   2555.082763
85   3f3e   7.70   2618.938057
86   2wbg   4.45   6465.459901
87   2cbv   5.48   3406.452042
88   2j78   6.42   3923.635378
89   2j7h   7.19   2845.187877
90   2cet   8.02   6752.417953
91   3udh   2.85   3715.559016
92   3rsx   4.41   3563.071001
93   4djv   6.72   7348.051984
94   2vkm   8.74  13028.302654
95   4gid  10.77  13357.215975
96   4jfs   5.27   4151.117924
97   4j28   5.70   3889.257362
98   2wvt   6.12   3527.062992
99   2xii   7.20   6774.395638
100  4pcs   7.85   3558.418632
101  3rr4   4.55   4845.571938
102  1s38   5.15   3412.820177
103  1r5y   6.46   3185.854503
104  3gc5   7.26   5560.098673
105  3ge7   8.70   6814.245789
106  4dli   5.62   5146.669486
107  2zb1   6.32   6837.839106
108  4f9w   6.94   6468.375053
109  3e92   8.00   7101.129848
110  3e93   8.85   9869.240967
111  4owm   2.96   1928.969055
112  3twp   3.92   1854.668476
113  3r88   4.82   2868.374440
114  4gkm   5.17   4368.790356
115  3qqs   5.82   4399.399700
116  3gv9   2.12   2539.929321
117  3gr2   2.52   2571.227946
118  4kz6   3.10   3405.110622
119  4jxs   4.74   4926.755008
120  2r9w   5.10   6559.299719
121  2hb1   3.80   3323.336827
122  1bzc   4.92   5520.080440
123  2qbr   6.33   6158.378349
124  2qbq   7.44   6790.196446
125  2qbp   8.40   6289.115775
126  1q8t   4.76   4916.061389
127  1ydr   5.52   5909.023482
