     code  logKa        score
1    4llx   2.89  1492.417176
2    5c28   5.66  2140.646941
3    3uuo   7.96  3580.115035
4    3ui7   9.00  4035.970158
5    5c2h  11.09  5451.396463
6    2v00   3.66  2924.699057
7    3wz8   5.82  5463.613321
8    3pww   7.32  8332.424161
9    3prs   7.82  7651.782599
10   3uri   9.00  9489.021164
11   3uri   9.00  9498.318887
12   3uri   9.00  9458.516349
13   4m0z   5.19  4773.572810
14   4m0y   6.46  3563.701172
15   3qgy   7.80  4832.691356
16   4qd6   8.64  3955.111990
17   4rfm  10.05  5642.788664
18   4cr9   4.10  2409.063251
19   4cra   7.22  5994.249308
20   4x6p   8.30  6921.158331
21   4crc   8.72  6475.662374
22   4ty7   9.52  5893.069831
23   5aba   2.98  2927.826766
24   5a7b   3.57  4049.894408
25   4agn   3.97  3442.792407
26   4agp   4.69  3546.054878
27   4agq   5.01  3864.764191
28   3bgz   6.26  4379.796767
29   3jya   6.89  2918.410255
30   2c3i   7.60  4206.120609
31   4k18   8.96  5342.714199
32   5dwr  11.22  6038.654239
33   3mss   4.66  3052.766433
34   3k5v   6.30  4430.176200
35   3pyy   6.86  3909.117044
36   2v7a   8.30  5798.575562
37   4twp  10.00  5167.370713
38   3wtj   6.53  3427.000317
39   3zdg   7.10  2850.822142
40   3u8k   8.66  3358.127999
41   4qac   9.40  5033.085732
42   3u8n  10.17  3688.652927
43   1a30   4.30  4493.309223
44   1a30   4.30  4205.813591
45   2qnq   6.11  7305.859347
46   1g2k   7.96  8001.432718
47   1eby   9.70  8748.332518
48   3o9i  11.82  7782.553418
49   4lzs   4.80  2696.890842
50   3u5j   5.61  3635.977147
51   4wiv   6.26  3926.394854
52   4ogj   6.79  4642.336770
53   3p5o   7.30  4753.374469
54   1ps3   2.28  3479.665466
55   3dx1   3.58  2022.501044
56   3d4z   4.89  3040.917501
57   3dx2   6.82  2692.471155
58   3ejr   8.57  4767.068557
59   3l7b   2.40  4067.430271
60   4eky   3.52  5185.135746
61   3g2n   4.09  4378.987735
62   3syr   5.10  4375.437457
63   3ebp   5.91  3886.477301
64   2w66   4.05  3416.590886
65   2w4x   4.85  3171.540934
66   2wca   5.60  3685.952609
67   2xj7   6.66  3380.054679
68   2xj7   6.66  3348.195931
69   2vvn   7.30  3531.229551
70   3aru   3.22  3067.368810
71   3arv   5.64  3756.984787
72   3ary   6.00  2587.351599
73   3arq   6.40  5399.685198
74   3arp   7.15  6035.455978
75   4ih5   4.11  3370.851462
76   4ih7   5.24  3180.646007
77   3cj4   6.51  3553.979172
78   4eo8   8.15  4164.424862
79   3gnw   9.10  7781.947316
80   1gpk   5.37  4006.676381
81   1gpn   6.48  4237.159053
82   1h23   8.35  7227.911990
83   1h22   9.10  6790.623211
84   1e66   9.89  4509.843716
85   3f3a   4.19  3203.090123
86   3f3c   6.02  2973.209502
87   4mme   6.50  4229.049439
88   3f3d   7.16  2011.434158
89   3f3e   7.70  2048.120386
90   2wbg   4.45  4501.766753
91   2cbv   5.48  2637.735905
92   2j78   6.42  2974.021516
93   2j7h   7.19  2253.284828
94   2cet   8.02  4711.232523
95   3udh   2.85  2724.503898
96   3rsx   4.41  2579.889918
97   4djv   6.72  5005.958485
98   2vkm   8.74  8647.602858
99   4gid  10.77  8946.266540
100  4jfs   5.27  2986.038556
101  4jfs   5.27  2979.424901
102  4j28   5.70  2876.910484
103  2wvt   6.12  2650.189545
104  2xii   7.20  4859.446350
105  4pcs   7.85  2584.560683
106  3rr4   4.55  3577.214384
107  1s38   5.15  2673.165677
108  1r5y   6.46  2509.750287
109  3gc5   7.26  4021.676354
110  3ge7   8.70  4769.342146
111  4dli   5.62  3867.517024
112  2zb1   6.32  4852.955631
113  4f9w   6.94  4624.782662
114  3e92   8.00  5060.930400
115  3e93   8.85  6907.709414
116  4owm   2.96  1568.709237
117  3twp   3.92  1537.200894
118  3r88   4.82  2150.895618
119  4gkm   5.17  3263.561043
120  3qqs   5.82  3365.318649
121  3gv9   2.12  1943.035582
122  3gv9   2.12  1936.962524
123  3gr2   2.52  2025.100851
124  4kz6   3.10  2485.077949
125  4jxs   4.74  3543.968731
126  2r9w   5.10  4524.215345
127  2hb1   3.80  2427.448068
128  1bzc   4.92  3864.269950
129  1bzc   4.92  3902.259077
130  2qbr   6.33  4373.139264
131  2qbq   7.44  4670.570279
132  2qbp   8.40  5374.412981
133  1q8t   4.76  3495.501040
134  1ydr   5.52  4079.491896
135  1q8u   5.96  4376.551669
136  1ydt   7.32  5441.535478
137  3ag9   8.05  7392.044914
138  3fcq   2.77  2598.577529
139  3fcq   2.77  2637.532239
140  1z9g   5.64  2922.961114
141  1qf1   7.32  4664.872118
142  5tmn   8.04  5351.037269
143  4tmn  10.17  6497.315202
144  4ddk   2.29  2407.687208
145  4ddh   3.32  3000.391409
146  3ivg   4.30  5228.022917
147  3coz   5.57  6003.845118
148  3coy   6.02  6273.988606
149  3pxf   4.43  2373.171367
150  4eor   6.30  4975.280168
151  2xnb   6.83  5125.290394
152  1pxn   7.15  4212.797280
153  2fvd   8.52  5643.911656
154  4k77   6.63  3568.624751
155  4e5w   7.66  5485.941925
156  4ivb   8.72  4536.457660
157  4ivd   9.52  4880.579769
158  4ivc  10.00  4737.840766
159  4f09   6.70  3605.363430
160  4gfm   7.22  3542.566356
161  4hge   7.92  4747.418614
162  4e6q   8.36  4468.601576
163  4jia   9.22  4603.277109
164  2brb   4.86  4083.070206
165  2br1   5.14  4955.429534
166  3jvr   5.72  2741.746922
167  3jvs   6.54  3528.000953
168  1nvq   8.25  6687.378075
169  3acw   4.76  4041.745462
170  4ea2   6.44  4647.463643
171  2zcr   6.87  5284.556010
172  2zy1   7.40  4752.609738
173  2zcq   8.82  4589.896626
174  1bcu   3.28  2665.995801
175  3bv9   5.36  6616.665612
176  1oyt   7.24  5390.683380
177  2zda   8.40  5038.830904
178  3utu  10.92  6960.097877
179  3u9q   4.38  2226.422406
180  2yfe   6.63  4261.272566
181  3fur   8.00  5453.272882
182  3b1m   8.48  6664.415648
183  2p4y   9.00  7217.129031
184  3uo4   6.52  5023.382535
185  3up2   7.40  4991.382074
186  3e5a   8.23  5553.021241
187  2wtv   8.74  5926.248845
188  3myg  10.70  4549.304074
189  3kgp   2.57  2029.783597
190  1c5z   4.01  1793.485805
191  1o5b   5.77  2451.385320
192  1owh   7.40  3817.127304
193  1sqa   9.21  4484.579356
194  4jsz   2.30  1344.344365
195  3kwa   4.08  2680.105198
196  2weg   6.50  2344.212634
197  3ryj   7.80  3440.861605
198  3dd0   9.00  2933.117857
199  2xdl   3.10  3402.172718
200  3b27   5.16  3235.219511
201  1yc1   6.17  5521.895568
202  3rlr   7.52  4554.693980
203  3rlr   7.52  4588.463908
204  3rlr   7.52  4600.664454
205  2yki   9.46  6871.797159
206  1z95   7.12  5979.878473
207  3b68   8.40  6501.258729
208  3b5r   8.77  5862.677289
209  3b65   9.27  5230.159081
210  3g0w   9.52  5071.471627
211  4u4s   2.92  2875.067260
212  1p1q   4.89  2873.129498
213  1syi   5.44  3577.572791
214  1p1n   6.80  3235.486604
215  2al5   8.40  3404.526684
216  3g2z   2.36  2183.466839
217  3g31   2.89  1759.227262
218  4de2   4.12  4027.373479
219  4de3   5.52  3571.601623
220  4de1   5.96  3862.182131
221  1vso   4.72  3594.342351
222  4dld   5.82  4344.401763
223  3gbb   6.90  3940.787958
224  3fv2   8.11  4505.212709
225  3fv1   9.30  4683.820315
226  4mgd   4.69  3758.093335
227  2qe4   7.96  4572.655200
228  1qkt   9.04  4013.750400
229  2pog   9.54  4221.944340
230  2p15  10.30  6459.714840
231  2y5h   5.79  4975.584850
232  1lpg   7.09  5942.357510
233  2xbv   8.43  6359.095137
234  1z6e   9.72  5868.803191
235  1mq6  11.15  5726.386441
236  1nc3   5.00  4162.614402
237  1nc1   6.12  4438.523216
238  1y6r  10.11  4411.096598
239  4f2w  11.30  4342.344671
240  4f3c  11.82  4908.057146
241  1uto   2.27  1690.281587
242  4abg   3.57  2316.590102
243  3gy4   5.10  1998.549510
244  1k1i   6.58  4631.009410
245  1o3f   7.96  3848.520761
246  2yge   5.06  6429.280254
247  2fxs   6.06  4501.291962
248  2iwx   6.68  4469.210224
249  2wer   7.05  4344.626863
250  2vw5   8.52  5793.857415
251  4kzq   6.10  3627.852644
252  4kzu   6.50  3707.179992
253  4j21   7.41  4043.002858
254  4j21   7.41  4045.392283
255  4j3l   7.80  4539.483917
256  3kr8   8.10  4231.815537
257  2ymd   3.16  2798.741179
258  2wnc   6.32  3911.232038
259  2xys   7.42  4969.360355
260  2wn9   8.52  3765.807574
261  2x00  11.33  6443.845350
262  3ozt   4.13  5374.635403
263  3ozs   5.33  5788.254523
264  3oe5   6.88  5547.453175
265  3oe4   7.47  5722.616999
266  3nw9   9.00  6589.406803
267  3ao4   2.07  2987.146500
268  3zt2   2.84  3734.798592
269  3zsx   3.28  4340.025788
270  4cig   3.67  4685.313394
271  3zso   5.12  5426.318904
272  3zso   5.12  5426.318904
273  3n7a   3.70  2541.355093
274  4ciw   4.82  3301.071131
275  3n86   5.64  5058.667958
276  3n76   6.85  4848.234281
277  2xb8   7.59  4616.388851
278  4bkt   3.62  2663.621902
279  4w9c   4.65  3732.240963
280  4w9l   5.02  5167.461276
281  4w9l   5.02  5167.855891
282  4w9i   5.96  4542.548379
283  4w9h   6.73  4645.942229
284  3nq9   4.03  1450.914900
285  3ueu   5.24  2434.973402
286  3uev   5.89  2595.972284
287  3uew   6.31  2755.024477
288  3uex   6.92  3313.644043
289  3lka   2.82  2357.580200
290  3ehy   5.85  3097.367592
291  3tsk   7.17  6212.508411
292  3nx7   8.10  3713.850656
293  4gr0   9.55  7376.347475
294  3dxg   2.40  2927.954326
295  3d6q   3.76  2976.019356
296  1w4o   5.22  2870.722389
297  1o0h   5.92  4049.808196
298  1u1b   7.80  6096.890767

Summary of the scoring power: ===================================
The regression equation: logKa = 0.00 + 2.70 * Score
Number of favorable sample (N) = 298
Pearson correlation coefficient (R) = 0.624
Standard deviation in fitting (SD) = 1.70
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("rmsd_rmc11_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,298,2);
for(i in 1:298);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("rmsd_rmc11-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
