     code  logKa        score
1    4llx   2.89  1373.712721
2    5c28   5.66  1912.760759
3    3uuo   7.96  3042.446098
4    3ui7   9.00  3415.463449
5    5c2h  11.09  4726.946780
6    2v00   3.66  2599.699563
7    3wz8   5.82  4813.200187
8    3pww   7.32  6974.632507
9    3prs   7.82  6470.822984
10   3uri   9.00  7987.984630
11   3uri   9.00  7984.555194
12   3uri   9.00  7959.662632
13   4m0z   5.19  4119.418621
14   4m0y   6.46  3093.800508
15   3qgy   7.80  4154.598359
16   4qd6   8.64  3352.970045
17   4rfm  10.05  4899.454234
18   4cr9   4.10  2198.142907
19   4cra   7.22  5221.966434
20   4x6p   8.30  5983.288869
21   4crc   8.72  5571.893240
22   4ty7   9.52  5085.223893
23   5aba   2.98  2646.179568
24   5a7b   3.57  3663.938159
25   4agn   3.97  3102.435245
26   4agp   4.69  3203.195955
27   4agq   5.01  3478.406324
28   3bgz   6.26  3801.280420
29   3jya   6.89  2555.698133
30   2c3i   7.60  3634.939264
31   4k18   8.96  4616.762858
32   5dwr  11.22  5192.161250
33   3mss   4.66  2713.426944
34   3k5v   6.30  3989.871134
35   3pyy   6.86  3405.669279
36   2v7a   8.30  5023.909740
37   4twp  10.00  4461.242245
38   3wtj   6.53  2998.636159
39   3zdg   7.10  2492.548323
40   3u8k   8.66  2932.377860
41   4qac   9.40  4355.399548
42   3u8n  10.17  3235.713639
43   1a30   4.30  3920.648578
44   1a30   4.30  3632.929818
45   2qnq   6.11  6256.918763
46   1g2k   7.96  6765.616672
47   1eby   9.70  7398.362069
48   3o9i  11.82  6650.739016
49   4lzs   4.80  2366.542828
50   3u5j   5.61  3154.677786
51   4wiv   6.26  3317.298576
52   4ogj   6.79  3936.464163
53   3p5o   7.30  4089.823081
54   1ps3   2.28  3085.602773
55   3dx1   3.58  1867.846212
56   3d4z   4.89  2707.953902
57   3dx2   6.82  2434.051544
58   3ejr   8.57  4186.716973
59   3l7b   2.40  3538.649904
60   4eky   3.52  4468.969506
61   3g2n   4.09  3830.595482
62   3syr   5.10  3797.168144
63   3ebp   5.91  3416.106445
64   2w66   4.05  3012.835261
65   2w4x   4.85  2789.532856
66   2wca   5.60  3138.945820
67   2xj7   6.66  2991.426847
68   2xj7   6.66  2974.068142
69   2vvn   7.30  3132.945537
70   3aru   3.22  2721.373995
71   3arv   5.64  3302.940085
72   3ary   6.00  2264.913057
73   3arq   6.40  4712.147658
74   3arp   7.15  5302.095896
75   4ih5   4.11  2943.196888
76   4ih7   5.24  2759.817112
77   3cj4   6.51  3023.385520
78   4eo8   8.15  3507.732553
79   3gnw   9.10  6539.930945
80   1gpk   5.37  3481.161904
81   1gpn   6.48  3665.925839
82   1h23   8.35  6222.759757
83   1h22   9.10  5864.070299
84   1e66   9.89  3929.462273
85   3f3a   4.19  2841.050886
86   3f3c   6.02  2676.693528
87   4mme   6.50  3717.745276
88   3f3d   7.16  1828.659036
89   3f3e   7.70  1857.953612
90   2wbg   4.45  3936.325337
91   2cbv   5.48  2381.657625
92   2j78   6.42  2684.870391
93   2j7h   7.19  2051.953037
94   2cet   8.02  4075.126469
95   3udh   2.85  2395.013595
96   3rsx   4.41  2229.085100
97   4djv   6.72  4284.634940
98   2vkm   8.74  7414.640792
99   4gid  10.77  7712.692813
100  4jfs   5.27  2584.769390
101  4jfs   5.27  2575.253205
102  4j28   5.70  2504.231172
103  2wvt   6.12  2327.606556
104  2xii   7.20  4209.103007
105  4pcs   7.85  2277.227593
106  3rr4   4.55  3137.639328
107  1s38   5.15  2398.812033
108  1r5y   6.46  2265.348664
109  3gc5   7.26  3521.637275
110  3ge7   8.70  4153.804384
111  4dli   5.62  3463.597256
112  2zb1   6.32  4240.646466
113  4f9w   6.94  3968.388428
114  3e92   8.00  4369.554030
115  3e93   8.85  5990.736318
116  4owm   2.96  1476.941342
117  3twp   3.92  1456.687912
118  3r88   4.82  1975.046576
119  4gkm   5.17  3001.208300
120  3qqs   5.82  3059.456427
121  3gv9   2.12  1762.201630
122  3gv9   2.12  1755.786184
123  3gr2   2.52  1768.418376
124  4kz6   3.10  2217.699020
125  4jxs   4.74  3139.998091
126  2r9w   5.10  3948.670943
127  2hb1   3.80  2236.781350
128  1bzc   4.92  3434.699634
129  1bzc   4.92  3469.391853
130  2qbr   6.33  3885.003532
131  2qbq   7.44  4134.049246
132  2qbp   8.40  4736.233502
133  1q8t   4.76  3094.262430
134  1ydr   5.52  3530.440392
135  1q8u   5.96  3786.660685
136  1ydt   7.32  4720.257129
137  3ag9   8.05  6110.722423
138  3fcq   2.77  2310.773885
139  3fcq   2.77  2341.300861
140  1z9g   5.64  2568.018019
141  1qf1   7.32  4058.580086
142  5tmn   8.04  4617.150531
143  4tmn  10.17  5554.238130
144  4ddk   2.29  2221.996560
145  4ddh   3.32  2739.466497
146  3ivg   4.30  4661.341104
147  3coz   5.57  5166.029073
148  3coy   6.02  5396.874771
149  3pxf   4.43  2076.772693
150  4eor   6.30  4282.309295
151  2xnb   6.83  4433.985605
152  1pxn   7.15  3671.091059
153  2fvd   8.52  4903.365013
154  4k77   6.63  3123.967469
155  4e5w   7.66  4757.030922
156  4ivb   8.72  3946.641553
157  4ivd   9.52  4242.239387
158  4ivc  10.00  4126.309936
159  4f09   6.70  3130.597038
160  4gfm   7.22  3137.234461
161  4hge   7.92  4126.679308
162  4e6q   8.36  3869.615853
163  4jia   9.22  4035.435024
164  2brb   4.86  3565.854102
165  2br1   5.14  4340.204640
166  3jvr   5.72  2481.537101
167  3jvs   6.54  3130.523773
168  1nvq   8.25  5677.863807
169  3acw   4.76  3578.369152
170  4ea2   6.44  3940.177807
171  2zcr   6.87  4648.613270
172  2zy1   7.40  4162.557275
173  2zcq   8.82  4072.485454
174  1bcu   3.28  2376.627427
175  3bv9   5.36  5621.868736
176  1oyt   7.24  4705.631397
177  2zda   8.40  4377.910227
178  3utu  10.92  5984.022524
179  3u9q   4.38  1998.420644
180  2yfe   6.63  3649.415008
181  3fur   8.00  4762.604344
182  3b1m   8.48  5686.863443
183  2p4y   9.00  6227.292964
184  3uo4   6.52  4260.230689
185  3up2   7.40  4337.517753
186  3e5a   8.23  4679.736298
187  2wtv   8.74  5031.111033
188  3myg  10.70  4020.723209
189  3kgp   2.57  1844.926646
190  1c5z   4.01  1644.458230
191  1o5b   5.77  2216.716414
192  1owh   7.40  3306.040562
193  1sqa   9.21  3839.244825
194  4jsz   2.30  1285.125189
195  3kwa   4.08  2290.832717
196  2weg   6.50  2101.917066
197  3ryj   7.80  3025.895656
198  3dd0   9.00  2525.044073
199  2xdl   3.10  3044.701831
200  3b27   5.16  2854.074866
201  1yc1   6.17  4848.569510
202  3rlr   7.52  3944.203447
203  3rlr   7.52  3969.430359
204  3rlr   7.52  3974.975152
205  2yki   9.46  5965.807637
206  1z95   7.12  5202.348659
207  3b68   8.40  5636.175405
208  3b5r   8.77  5112.864071
209  3b65   9.27  4545.395776
210  3g0w   9.52  4458.936304
211  4u4s   2.92  2527.924521
212  1p1q   4.89  2598.458575
213  1syi   5.44  3195.372900
214  1p1n   6.80  2884.562368
215  2al5   8.40  3052.614800
216  3g2z   2.36  1941.261686
217  3g31   2.89  1543.966803
218  4de2   4.12  3503.407639
219  4de3   5.52  3134.024083
220  4de1   5.96  3380.617804
221  1vso   4.72  3190.292730
222  4dld   5.82  3832.600247
223  3gbb   6.90  3462.786874
224  3fv2   8.11  3996.327427
225  3fv1   9.30  4135.230511
226  4mgd   4.69  3305.806884
227  2qe4   7.96  3889.598925
228  1qkt   9.04  3432.577348
229  2pog   9.54  3635.922461
230  2p15  10.30  5440.103381
231  2y5h   5.79  4357.947181
232  1lpg   7.09  5171.048114
233  2xbv   8.43  5564.746676
234  1z6e   9.72  5167.466145
235  1mq6  11.15  4953.527100
236  1nc3   5.00  3628.104938
237  1nc1   6.12  3847.893677
238  1y6r  10.11  3835.130274
239  4f2w  11.30  3779.392447
240  4f3c  11.82  4261.029980
241  1uto   2.27  1536.165753
242  4abg   3.57  2066.295930
243  3gy4   5.10  1827.120597
244  1k1i   6.58  4017.408698
245  1o3f   7.96  3351.433262
246  2yge   5.06  5418.197961
247  2fxs   6.06  4026.741490
248  2iwx   6.68  3966.405508
249  2wer   7.05  3823.788397
250  2vw5   8.52  4930.687458
251  4kzq   6.10  3279.014282
252  4kzu   6.50  3348.414115
253  4j21   7.41  3608.468126
254  4j21   7.41  3625.115919
255  4j3l   7.80  4029.452347
256  3kr8   8.10  3797.726897
257  2ymd   3.16  2510.008996
258  2wnc   6.32  3417.017673
259  2xys   7.42  4269.559293
260  2wn9   8.52  3200.738085
261  2x00  11.33  5364.303850
262  3ozt   4.13  4745.457307
263  3ozs   5.33  5125.664982
264  3oe5   6.88  4868.668985
265  3oe4   7.47  5025.652759
266  3nw9   9.00  5746.992364
267  3ao4   2.07  2662.126367
