     code  logKa        score
1    4llx   2.89  1373.712721
2    5c28   5.66  1926.726643
3    3uuo   7.96  2993.138649
4    3ui7   9.00  3415.463449
5    5c2h  11.09  4726.946780
6    2v00   3.66  1851.728139
7    3wz8   5.82  4815.695497
8    3pww   7.32  6817.949767
9    3prs   7.82  6544.737425
10   3uri   9.00  8036.783527
11   4m0z   5.19  4176.250231
12   4m0y   6.46  3112.927375
13   3qgy   7.80  4154.598359
14   4qd6   8.64  3339.048867
15   4rfm  10.05  4899.454234
16   4cr9   4.10  2244.400363
17   4cra   7.22  5221.966434
18   4x6p   8.30  5824.625558
19   4crc   8.72  5497.461765
20   4ty7   9.52  5068.275172
21   5aba   2.98  2319.703548
22   5a7b   3.57  3690.770980
23   4agn   3.97  2959.299577
24   4agp   4.69  3417.902258
25   4agq   5.01  3402.744912
26   3bgz   6.26  3801.280420
27   3jya   6.89  2424.606249
28   2c3i   7.60  3695.244196
29   4k18   8.96  4688.947013
30   5dwr  11.22  5176.956870
31   3mss   4.66  2687.015054
32   3k5v   6.30  4023.283792
33   3pyy   6.86  2965.928316
34   2v7a   8.30  4983.204297
35   4twp  10.00  4432.889476
36   3wtj   6.53  2998.636159
37   3zdg   7.10  2461.193004
38   3u8k   8.66  2983.182641
39   4qac   9.40  4410.270115
40   3u8n  10.17  3227.697682
41   1a30   4.30  3126.417241
42   2qnq   6.11  6227.887042
43   1g2k   7.96  6768.802940
44   1eby   9.70  7382.586092
45   3o9i  11.82  6704.112469
46   4lzs   4.80  2368.790660
47   3u5j   5.61  3006.981215
48   4wiv   6.26  3317.298576
49   4ogj   6.79  3792.040604
50   3p5o   7.30  4124.433537
51   1ps3   2.28  3085.602773
52   3dx1   3.58  1860.080587
53   3d4z   4.89  2707.953902
54   3dx2   6.82  2464.285161
55   3ejr   8.57  4186.716973
56   3l7b   2.40  3532.017427
57   4eky   3.52  4503.305741
58   3g2n   4.09  3830.595482
59   3syr   5.10  3797.168144
60   3ebp   5.91  3416.106445
